depth,d18O,age
360.25,-49.47,11.968
360.8,-50.14,11.99
361.35,-49.46,12.0113
361.9,-50.23,12.0322
362.45,-49.49,12.053099999999999
363.0,-50.46,12.074
363.55,-49.86,12.096
364.1,-50.17,12.118100000000002
364.65,-49.29,12.140649999999999
365.2,-50.36,12.1632
365.75,-51.37,12.185749999999999
366.3,-50.83,12.2089
366.85,-51.01,12.232550000000002
367.4,-50.74,12.256599999999999
367.95,-50.99,12.2808
368.5,-50.77,12.305
369.05,-51.49,12.32935
369.6,-51.51,12.355200000000002
370.15,-50.66,12.380899999999999
370.7,-50.82,12.4062
371.25,-50.66,12.43075
371.8,-51.67,12.4544
372.35,-51.37,12.4784
372.9,-51.59,12.5026
373.45,-52.94,12.52815
374.0,-51.84,12.554
374.55,-51.67,12.580950000000001
375.1,-52.4,12.6079
375.65,-51.36,12.634849999999998
376.2,-51.08,12.661599999999998
376.75,-52.03,12.687999999999999
377.3,-50.97,12.7132
377.85,-52.54,12.737400000000001
378.4,-52.82,12.763599999999999
378.95,-52.11,12.790549999999998
379.5,-53.19,12.82
380.05,-51.78,12.84955
380.6,-51.35,12.877600000000001
381.15,-52.36,12.905499999999998
381.7,-52.43,12.933
382.25,-52.29,12.961
382.8,-53.51,12.989600000000001
383.35,-53.11,13.018900000000002
383.9,-53.21,13.048599999999999
384.45,-52.83,13.079199999999998
385.0,-53.3,13.11
385.55,-52.24,13.1408
386.1,-52.63,13.171300000000002
386.65,-52.42,13.200449999999998
387.2,-53.3,13.2298
387.75,-53.63,13.2595
388.3,-52.52,13.2895
388.85,-52.98,13.31975
389.4,-52.04,13.349599999999999
389.95,-52.57,13.379299999999999
390.5,-52.95,13.4085
391.05,-53.03,13.437750000000001
391.6,-52.72,13.468000000000002
392.15,-52.17,13.498099999999999
392.7,-52.54,13.5278
393.25,-52.68,13.55725
393.8,-53.11,13.586400000000001
394.35,-52.87,13.61625
394.9,-52.52,13.646499999999998
395.45,-51.9,13.6754
396.0,-52.28,13.704
396.55,-52.78,13.732050000000001
397.1,-52.14,13.759900000000002
397.65,-51.91,13.78685
398.2,-52.43,13.814
398.75,-52.62,13.8415
399.3,-53.43,13.8699
399.85,-53.17,13.89905
400.4,-52.63,13.9286
400.95,-53.14,13.9583
401.5,-52.36,13.988
402.05,-51.38,14.017450000000002
402.6,-52.6,14.044400000000001
403.15,-52.25,14.071349999999999
403.7,-52.97,14.098299999999998
404.25,-53.06,14.126249999999999
404.8,-53.22,14.1554
405.35,-53.15,14.185950000000002
405.9,-52.16,14.2173
406.45,-52.91,14.24775
407.0,-52.54,14.278
407.55,-51.48,14.30715
408.1,-53,14.336300000000001
408.65,-51.54,14.36545
409.2,-52.68,14.395
409.75,-52.83,14.42525
410.3,-52.42,14.4555
410.85,-51.79,14.485750000000001
411.4,-51.24,14.514399999999998
411.95,-51.01,14.542449999999999
412.5,-51.57,14.568999999999999
413.05,-52.3,14.595550000000001
413.6,-52.19,14.623600000000001
414.15,-52.44,14.65195
414.7,-51.54,14.681099999999999
415.25,-51.15,14.709499999999998
415.8,-51.45,14.737
416.35,-51.69,14.763800000000002
416.9,-52.33,14.790199999999999
417.45,-49.94,14.817049999999998
418.0,-50.48,14.844
418.55,-50.66,14.8693
419.1,-51.08,14.894600000000002
419.65,-50.87,14.919899999999998
420.2,-51.27,14.945799999999998
420.75,-50.93,14.97275
421.3,-53.05,15.0009
421.85,-51.82,15.030050000000001
422.4,-51.02,15.0596
422.95,-52.08,15.0893
423.5,-52.15,15.118500000000001
424.05,-51.68,15.14775
424.6,-52.49,15.178
425.15,-51.93,15.208099999999998
425.7,-52.97,15.237799999999998
426.25,-52.74,15.268
426.8,-52.14,15.298800000000002
427.35,-52.66,15.330300000000001
427.9,-52.43,15.3622
428.45,-51.76,15.39275
429.0,-51.95,15.423
429.55,-52.19,15.4527
430.1,-51.75,15.4821
430.65,-51.98,15.51015
431.2,-52.19,15.5384
431.75,-53.21,15.567
432.3,-50.88,15.595600000000001
432.85,-52.41,15.6242
433.4,-52.82,15.653599999999999
433.95,-52.81,15.6833
434.5,-51.84,15.714500000000001
435.05,-52.16,15.745800000000001
435.6,-52.35,15.776600000000002
436.15,-52.12,15.807249999999998
436.7,-52.59,15.837499999999999
437.25,-52.8,15.86825
437.8,-53.34,15.8996
438.35,-53.01,15.931650000000001
438.9,-53.14,15.964099999999998
439.45,-53.06,15.997
440.0,-53.31,16.03
440.55,-53.27,16.063000000000002
441.1,-52.65,16.0958
441.65,-52.87,16.127699999999997
