depth,age
1748,30829
1749,30879
1750,30933
1751,30990
1752,31046
1753,31098
1754,31151
1755,31212
1756,31265
1757,31322
1758,31380
1759,31437
1760,31496
1761,31557
1762,31612
1763,31667
1764,31721
1765,31775
1766,31829
1767,31888
1768,31946
1769,32001
1770,32050
1771,32097
1772,32138
1773,32177
1774,32215
1775,32258
1776,32295
1777,32328
1778,32365
1779,32399
1780,32431
1781,32464
1782,32493
1783,32539
1784,32608
1785,32666
1786,32734
1787,32802
1788,32868
1789,32933
1790,33000
1791,33069
1792,33141
1793,33209
1794,33278
1795,33341
1796,33389
1797,33425
1798,33458
1799,33491
1800,33524
1801,33559
1802,33592
1803,33627
1804,33659
1805,33686
1806,33715
1807,33761
1808,33812
1809,33864
1810,33917
1811,33975
1812,34031
1813,34089
1814,34148
1815,34209
1816,34267
1817,34324
1818,34382
1819,34438
1820,34495
1821,34556
1822,34617
1823,34675
1824,34727
1825,34769
1826,34805
1827,34839
1828,34875
1829,34914
1830,34950
1831,34990
1832,35029
1833,35064
1834,35101
1835,35136
1836,35172
1837,35204
1838,35240
1839,35271
1840,35305
1841,35338
1842,35373
1843,35407
1844,35438
1845,35470
1846,35508
1847,35554
1848,35611
1849,35670
1850,35728
1851,35789
1852,35847
1853,35908
1854,35966
1855,36027
1856,36084
1857,36144
1858,36204
1859,36262
1860,36318
1861,36375
1862,36429
1863,36473
1864,36520
1865,36574
1866,36620
1867,36666
1868,36706
1869,36747
1870,36787
1871,36824
1872,36856
1873,36895
1874,36940
1875,36980
1876,37019
1877,37057
1878,37099
1879,37140
1880,37175
1881,37209
1882,37242
1883,37275
1884,37306
1885,37340
1886,37377
1887,37412
1888,37443
1889,37476
1890,37507
1891,37535
1892,37567
1893,37600
1894,37636
1895,37666
1896,37697
1897,37728
1898,37760
1899,37794
1900,37824
1901,37857
1902,37888
1903,37919
1904,37951
1905,37981
1906,38012
1907,38041
1908,38068
1909,38098
1910,38130
1911,38156
1912,38184
1913,38219
1914,38276
1915,38331
1916,38388
1917,38450
1918,38509
1919,38572
1920,38635
1921,38697
1922,38759
1923,38820
1924,38883
1925,38945
1926,39002
1927,39063
1928,39131
1929,39193
1930,39258
1931,39325
1932,39389
1933,39451
1934,39523
1935,39588
1936,39656
1937,39726
1938,39798
1939,39869
1940,39926
1941,39983
1942,40029
1943,40074
1944,40117
1945,40165
1946,40217
1947,40275
1948,40333
1949,40388
1950,40453
1951,40515
1952,40576
1953,40633
1954,40691
1955,40750
1956,40811
1957,40868
1958,40922
